name,official_name,population,region,capital
Saint Pierre and Miquelon,Saint Pierre and Miquelon,6069,Americas,Saint-Pierre
Andorra,Principality of Andorra,77265,Europe,Andorra la Vella
North Korea,Democratic People's Republic of Korea,25778815,Asia,Pyongyang
Djibouti,Republic of Djibouti,988002,Africa,Djibouti
Saint Barthélemy,Collectivity of Saint Barthélemy,4255,Americas,Gustavia
Saudi Arabia,Kingdom of Saudi Arabia,34813867,Asia,Riyadh
Zambia,Republic of Zambia,18383956,Africa,Lusaka
Iran,Islamic Republic of Iran,83992953,Asia,Tehran
Kyrgyzstan,Kyrgyz Republic,6591600,Asia,Bishkek
Ethiopia,Federal Democratic Republic of Ethiopia,114963583,Africa,Addis Ababa
Guatemala,Republic of Guatemala,16858333,Americas,Guatemala City
Martinique,Martinique,378243,Americas,Fort-de-France
Suriname,Republic of Suriname,586634,Americas,Paramaribo
Uruguay,Oriental Republic of Uruguay,3473727,Americas,Montevideo
New Caledonia,New Caledonia,271960,Oceania,Nouméa
Fiji,Republic of Fiji,896444,Oceania,Suva
Aruba,Aruba,106766,Americas,Oranjestad
Switzerland,Swiss Confederation,8654622,Europe,Bern
DR Congo,Democratic Republic of the Congo,108407721,Africa,Kinshasa
Finland,Republic of Finland,5530719,Europe,Helsinki
Malta,Republic of Malta,525285,Europe,Valletta
Madagascar,Republic of Madagascar,27691019,Africa,Antananarivo
New Zealand,New Zealand,5084300,Oceania,Wellington
El Salvador,Republic of El Salvador,6486201,Americas,San Salvador
São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe,219161,Africa,São Tomé
Jordan,Hashemite Kingdom of Jordan,10203140,Asia,Amman
Tokelau,Tokelau,1411,Oceania,Fakaofo
Poland,Republic of Poland,37950802,Europe,Warsaw
Mauritania,Islamic Republic of Mauritania,4649660,Africa,Nouakchott
North Macedonia,Republic of North Macedonia,2077132,Europe,Skopje
Myanmar,Republic of the Union of Myanmar,54409794,Asia,Naypyidaw
Qatar,State of Qatar,2881060,Asia,Doha
France,French Republic,67391582,Europe,Paris
Norfolk Island,Territory of Norfolk Island,2302,Oceania,Kingston
Antarctica,Antarctica,1000,Antarctic,Unknown
Guam,Guam,168783,Oceania,Hagåtña
Belarus,Republic of Belarus,9398861,Europe,Minsk
Seychelles,Republic of Seychelles,98462,Africa,Victoria
Italy,Italian Republic,59554023,Europe,Rome
Macau,Macao Special Administrative Region of the People's Republic of China,649342,Asia,Unknown
Brunei,"Nation of Brunei, Abode of Peace",437483,Asia,Bandar Seri Begawan
South Sudan,Republic of South Sudan,11193729,Africa,Juba
Spain,Kingdom of Spain,47351567,Europe,Madrid
